seller_id,seller_state,orders,merchandise_value_brl,late_delivery_rate_pct,average_review_score,operational_status
1f50f920176fa81dab994f9023523100,SP,1403,106889.31,10.55,4.13,monitor
f5a590cf36251cf1162ea35bef76fe84,SP,114,51717.78,10.53,4.28,monitor
8648b1e89e9b349e32d3741b30ec737e,SP,95,7442.55,10.53,4.08,monitor
4e922959ae960d389249c378d1c939f5,SP,420,46030.37,10.48,3.95,monitor
8d956fec2e4337affcb520f56fd8cbfd,SP,210,10988.2,10.48,4.21,monitor
522620dcb18a6b31cd7bdf73665113a9,PR,174,57168.49,10.34,3.86,monitor
ea8482cd71df3c1969d7b9473ff13abc,SP,1145,37147.53,10.31,3.99,monitor
8b321bb669392f5163d04c59e235e066,SP,943,17535.69,10.29,4.07,monitor
f0b47fbbc6dee9aafe415a6e33051b3f,SP,68,3795.91,10.29,4.22,monitor
391fc6631aebcf3004804e51b40bcf1e,SP,526,39951.95,10.27,4.02,monitor
9c0e69c7bf2619675bbadf47b43f655a,SP,156,33631.78,10.26,4.12,monitor
c9c7905cffc4ef9ff9f113554423e671,SP,127,10657.18,10.24,4.14,monitor
1900267e848ceeba8fa32d80c1a5f5a8,SP,411,24982.53,10.22,3.8,monitor
ececbfcff9804a2d6b40f589df8eef2b,SP,98,6792.4,10.2,4.11,monitor
fd386aa7bed2af3c7035c65506c9b4a3,SP,69,2304.15,10.14,4.35,monitor
d673a59aac7a70d8b01e6902bf090a11,SP,79,3908.94,10.13,3.91,monitor
634964b17796e64304cadf1ad3050fb7,RJ,267,39357.1,10.11,4.03,monitor
fa1c13f2614d7b5c4749cbc52fecda94,SP,584,192842.13,10.1,4.33,monitor
37515688008a7a40ac93e3b2e4ab203f,SP,228,5986.6,10.09,4.07,monitor
1025f0e2d44d7041d6cf58b6550e0bfa,SP,915,138968.55,10.05,3.97,monitor
a3e9a2c700480d9bb01fba070ba80a0e,SP,130,13440.8,10.0,3.95,monitor
527801b552d0077ffd170872eb49683b,SP,90,17942.8,10.0,4.43,monitor
e59aa562b9f8076dd550fcddf0e73491,PR,70,31574.3,10.0,4.21,monitor
f7ccf836d21b2fb1de37564105216cc1,SP,70,2787.4,10.0,3.73,monitor
5343d0649eca2a983820bfe93fc4d17e,SP,70,9819.02,10.0,3.83,monitor
7c67e1448b00f6e969d365cea6b010ab,SP,982,187923.89,9.98,3.48,monitor
4c2b230173bb36f9b240f2b8ac11786e,SP,261,14592.27,9.96,3.93,monitor
827f8f69dfa529c561901c4f2e0f332f,PR,91,3408.39,9.89,4.21,monitor
8581055ce74af1daba164fdbd55a40de,SP,385,64549.42,9.87,4.26,monitor
620c87c171fb2a6dd6e8bb4dec959fc6,RJ,732,113659.4,9.84,4.26,monitor
de23c3b98a88888289c6f5cc1209054a,SP,163,26220.67,9.82,4.28,monitor
1d8dbc4f32378d715c717c1c1fc57bae,PR,92,11315.89,9.78,4.0,monitor
318f287a62ab7ac10b703ac37435a231,SP,52,2517.48,9.62,3.87,monitor
7040e82f899a04d1b434b795a43b4617,SP,209,9248.6,9.57,3.63,monitor
54a1852d1b8f10312c55e906355666ee,SP,200,17226.44,9.5,4.31,monitor
6860153b69cc696d5dcfe1cdaaafcf62,SP,74,3827.63,9.46,4.05,monitor
1336efc61c316ddf92c899eb817f7cae,SP,74,4837.31,9.46,4.0,monitor
6a8b085f816a1f75f92dbac6eb545f8f,SP,127,6018.97,9.45,4.11,monitor
f262cbc1c910c83959f849465454ddd3,SP,191,10459.84,9.42,4.14,monitor
c826c40d7b19f62a09e2d7c5e7295ee2,SP,354,45643.74,9.32,4.07,monitor
218d46b86c1881d022bce9c68a7d4b15,SP,387,54699.3,9.3,4.14,monitor
e067ad2c1c0b48758eb1b5228bcf7a68,SP,54,5042.55,9.26,4.15,monitor
4a3ccda38b2129705f3fb522db62ca31,SP,65,16206.99,9.23,3.89,monitor
8e8a7ce9f2f970dc00e2acf6f6e199f6,RJ,65,9101.0,9.23,3.95,monitor
aac29b1b99776be73c3049939652091d,MG,98,6755.91,9.18,4.03,monitor
76d5af76d0271110f9af36c92573f765,SP,131,33461.6,9.16,4.12,monitor
e5a38146df062edaf55c38afa99e42dc,SP,121,15360.07,9.09,3.93,monitor
70c27847eca8195c983ed7e798c56743,RJ,77,12077.52,9.09,4.23,monitor
d05ae8f7a5bd1d2a690a44cd079e4e27,RJ,77,13244.0,9.09,3.86,monitor
ce7d1888639e6fb06b2749cbfdac1ff7,MG,78,11793.89,8.97,4.17,monitor
a420f60ff1aa9acc80d0e42959f2b313,SP,67,7443.3,8.96,3.93,monitor
17f51e7198701186712e53a39c564617,SP,56,48019.0,8.93,4.34,monitor
00ee68308b45bc5e2660cd833c3f81cc,SP,135,20260.0,8.89,4.3,monitor
fe2032dab1a61af8794248c8196565c9,SP,294,65959.61,8.84,4.35,monitor
d1c281d3ae149232351cd8c8cc885f0d,SP,215,26942.6,8.84,3.77,monitor
98dac6635aee4995d501a3972e047414,SP,91,4235.85,8.79,4.15,monitor
b2ba3715d723d245138f291a6fe42594,SP,333,50968.28,8.71,4.1,monitor
ef0ace09169ac090589d85746e3e036f,RJ,129,16223.3,8.53,4.37,monitor
5d0363b33554b373851fc1622e4d5f3c,SP,94,6610.79,8.51,4.04,monitor
cbd996ad3c1b7dc71fd0e5f5df9087e2,SP,165,8411.04,8.48,4.11,monitor
7ddcbb64b5bc1ef36ca8c151f6ec77df,SP,332,55375.59,8.43,3.95,monitor
c70c1b0d8ca86052f45a432a38b73958,SP,261,36537.37,8.43,4.33,monitor
688756f717c462a206ad854c5027a64a,SP,83,5966.54,8.43,3.84,monitor
3be634553519fb6536a03e1358e9fdc7,SP,83,5370.95,8.43,3.94,monitor
213b25e6f54661939f11710a6fddb871,SP,155,15379.5,8.39,3.77,monitor
ef506c96320abeedfb894c34db06f478,SP,323,9755.44,8.36,3.91,monitor
17e34d8224d27a541263c4c64b11a56b,SP,253,55470.32,8.3,4.2,monitor
004c9cd9d87a3c30c522c48c4fc07416,SP,158,19712.71,8.23,4.08,monitor
aced59e9b31ef866a94f9e7f29d8d418,SP,61,7268.5,8.2,4.43,monitor
7142540dd4c91e2237acb7e911c4eba2,SP,319,37373.56,8.15,4.02,monitor
715bbd5ba4e6b74cb0d2f29eb45058b0,SP,62,4043.3,8.06,4.47,monitor
bd0389da23d89b726abf911cccc54596,DF,87,7472.16,8.05,4.17,monitor
17a053fcb14bd219540cbde0df490be0,SP,125,40703.14,8.0,4.2,monitor
a17f621c590ea0fab3d5d883e1630ec6,SP,63,2677.92,7.94,4.06,monitor
4c18691b6037662be2df78a765d98ab5,SP,63,3195.52,7.94,3.87,monitor
92eb0f42c21942b6552362b9b114707d,SP,341,6548.63,7.92,3.98,monitor
4371b634e0efc0e22b09b52907d9d469,SP,101,8168.0,7.92,4.45,monitor
edb1ef5e36e0c8cd84eb3c9b003e486d,RJ,166,79284.55,7.83,4.42,monitor
951e8cef368f09bb3f3d03c00ca4702c,SP,64,4092.29,7.81,4.06,monitor
4b9750c8ad28220fe6702d4ecb7c898f,SP,218,15915.3,7.8,4.36,monitor
3c7c4a49ec3c6550809089c6a2ca9370,SP,141,4033.64,7.8,3.66,monitor
8e6cc767478edae941d9bd9eb778d77a,MG,104,6469.59,7.69,3.92,monitor
42b729f859728f5079499127a9c2ef37,SP,104,4118.86,7.69,4.45,monitor
e24fc9fcd865784fb25705606fe3dfe7,SP,52,12936.0,7.69,4.17,monitor
2a7dc43cecabf23403078e2188437d1d,SP,52,4795.91,7.69,4.1,monitor
955fee9216a65b617aa5c0531780ce60,SP,1286,135159.7,7.62,4.15,monitor
da8622b14eb17ae2831f4ac5b9dab84a,SP,1314,160236.57,7.61,4.17,monitor
624f4ece8da4aafb77699233d480f8ef,SP,53,9205.0,7.55,4.19,monitor
ccc4bbb5f32a6ab2b7066a4130f114e3,PR,187,74004.62,7.49,4.29,monitor
f45122a9ab94eb4f3f8953578bc0c560,SP,187,22078.29,7.49,3.96,monitor
5656537e588803a555b8eb41f07a944b,DF,174,8065.93,7.47,3.87,monitor
70eea00b476a314817cefde4aad4f89a,SP,108,31994.65,7.41,4.33,monitor
1bb2bdb95f4841f1bba2c0d2cd83d3c9,SP,81,5002.71,7.41,4.63,monitor
f214d28e8d8e3ef068748498ccc2f813,SP,54,2212.41,7.41,4.09,monitor
66922902710d126a0e7d26b0e3805106,MG,151,14362.3,7.28,4.45,monitor
48436dade18ac8b2bce089ec2a041202,SP,138,12271.71,7.25,4.01,monitor
e9779976487b77c6d4ac45f75ec7afe9,SP,656,43127.95,7.16,4.2,monitor
7ea5bfa6c340f58f8e71fc1f0412b0d6,MG,98,11002.89,7.14,4.1,monitor
c8b0e2b0a7095e5d8219575d5e7e1181,SP,84,12170.21,7.14,4.05,monitor
d50d79cb34e38265a8649c383dcffd48,SP,70,13012.42,7.14,4.21,monitor
8a130737016f838139d31878787a39c9,SP,56,4222.03,7.14,4.45,monitor
45d33f715e24d15a6ccf5c17b3a23e3c,SP,57,4572.36,7.02,4.09,monitor
4992e76a42cb3aad7a7047e0d3d7e729,SP,57,2211.1,7.02,3.91,monitor
25c5c91f63607446a97b143d2d535d31,MG,158,54679.22,6.96,3.82,monitor
